Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","168","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","203","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","470","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","448","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","303","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","300","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","639","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","567","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","20","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","19","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","5911","Exportations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","15","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","5511","Production","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","16","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","117","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","5611","Importations - Quantité","F2734","Viande de Volailles","2020","2020","Milliers de tonnes","90","I","Valeur imputée"
